run	time	zone	id.fire	target.area	burnt.area
1	40	ZA	45	16	16
1	40	ZA	46	84	84
1	40	ZA	47	176	176
1	40	ZA	48	4	4
1	40	ZA	49	92	92
1	40	ZA	50	16	16
1	40	ZA	51	12	12
1	40	ZA	52	64	64
1	45	ZD	1	16	16
1	45	ZD	2	4	4
1	45	ZD	3	28	28
1	45	ZD	4	44	44
1	45	ZD	5	4	4
1	45	ZD	6	36	36
1	45	ZB	7	128	128
1	45	ZB	8	24	24
1	45	ZB	9	12	12
1	45	ZB	10	176	176
1	45	ZB	11	1324	1324
1	45	ZB	12	20	20
1	45	ZB	13	1124	1124
1	45	ZB	14	176	176
1	45	ZB	15	92	92
1	45	ZB	16	72	72
1	45	ZB	17	120	120
1	45	ZB	18	40	40
1	45	ZB	19	88	88
1	45	ZB	20	108	108
1	45	ZB	21	420	420
1	45	ZC	22	152	152
1	45	ZC	23	52	52
1	45	ZC	24	84	84
1	45	ZC	25	64	64
1	45	ZC	26	196	196
1	45	ZC	27	156	156
1	45	ZC	28	60	60
1	45	ZC	29	80	80
1	45	ZC	30	4	4
1	45	ZC	31	48	48
1	45	ZC	32	124	124
1	45	ZC	33	108	108
1	45	ZC	34	64	64
1	45	ZC	35	60	60
1	45	ZC	36	160	160
1	45	ZC	37	92	92
1	45	ZC	38	152	152
1	45	ZA	39	1152	1152
1	45	ZA	40	120	120
1	45	ZA	41	40	40
1	45	ZA	42	132	132
1	45	ZA	43	160	160
1	45	ZA	44	176	176
1	45	ZA	45	120	120
1	45	ZA	46	820	820
1	45	ZA	47	172	172
1	45	ZA	48	1192	1192
1	45	ZA	49	240	240
1	45	ZA	50	148	148
1	45	ZA	51	208	208
1	45	ZA	52	284	284
1	45	ZA	53	160	160
1	45	ZA	54	76	76
1	50	ZA	1	192	192
1	50	ZA	2	72	72
1	50	ZA	3	160	160
1	50	ZA	4	260	260
1	50	ZA	5	4	4
1	50	ZA	6	1404	32
1	50	ZA	7	172	172
1	50	ZA	8	36	36
1	50	ZA	9	984	984
1	50	ZA	10	112	112
1	50	ZA	11	112	112
1	50	ZA	12	1792	1792
1	50	ZA	13	524	524
1	50	ZA	14	640	640
1	50	ZA	15	360	360
1	50	ZA	16	548	548
1	50	ZD	17	40	40
1	50	ZD	18	4	4
1	50	ZD	19	36	36
1	50	ZD	20	16	16
1	50	ZD	21	36	36
1	50	ZD	22	16	16
1	50	ZB	23	744	744
1	50	ZB	24	136	136
1	50	ZB	25	108	108
1	50	ZB	26	56	56
1	50	ZB	27	788	788
1	50	ZB	28	96	96
1	50	ZB	29	928	928
1	50	ZB	30	36	36
1	50	ZB	31	1416	1416
1	50	ZB	32	236	236
1	50	ZB	33	148	148
1	50	ZB	34	56	56
1	50	ZB	35	232	232
1	50	ZB	36	536	536
1	50	ZB	37	132	132
1	50	ZC	38	88	88
1	50	ZC	39	16	16
1	50	ZC	40	52	52
1	50	ZC	41	128	128
1	50	ZC	42	56	56
1	50	ZC	43	40	40
1	50	ZC	44	64	64
1	50	ZC	45	20	20
1	50	ZC	46	40	40
1	50	ZC	47	292	292
1	50	ZC	48	96	96
1	50	ZC	49	120	120
1	50	ZC	50	8	8
1	50	ZC	51	72	72
1	50	ZC	52	140	140
1	50	ZC	53	80	80
1	50	ZC	54	28	28
1	55	ZB	1	116	116
1	55	ZB	2	16	16
1	55	ZB	3	184	184
1	55	ZB	4	1104	1104
1	55	ZB	5	108	108
1	55	ZB	6	48	48
1	55	ZB	7	244	244
1	55	ZB	8	32	32
1	55	ZB	9	88	88
1	55	ZB	10	72	72
1	55	ZB	11	176	176
1	55	ZB	12	60	60
1	55	ZB	13	272	272
1	55	ZB	14	172	172
1	55	ZB	15	180	180
1	55	ZD	16	16	16
