run	time	UA	SProd_ha	S_CC_ha_an	S_PC_ha_an	vol
1	35	4251	841600	8640	2240	1251480
1	35	4351	918000	9200	1440	1189960
1	35	4352	592000	5280	1920	861600
1	35	51	724400	4880	5040	1019560
1	35	5151	36800	320	400	60840
1	35	6151	54800	240	720	83400
1	35	6271	430400	4240	2400	721920
1	35	6452	130000	560	1680	194600
1	35	6471	956400	5600	6800	1215840
1	35	71	511600	3360	4400	759960
1	35	7151	232400	960	2560	300240
1	35	7152	474400	2240	3280	501520
1	35	7251	116400	480	1520	172360
1	35	7351	360400	1840	3680	474960
1	35	7352	318800	2160	1280	353600
1	35	7451	751200	6400	3440	1108080
1	35	81	106000	1040	400	171640
1	35	8151	301600	2000	3040	488080
1	35	8152	562400	4880	2720	843520
1	35	82	459200	3120	640	432960
1	35	8251	460000	3040	960	464720
1	35	8351	877200	9040	1840	1259880
1	35	8451	615200	5040	800	632920
1	35	8462	210800	1440	320	183160
1	35	8551	634000	0	640	34800
1	35	8562	40400	0	0	NA
1	35	8651	333200	3360	480	413800
1	35	8652	269200	0	240	14240
1	35	8663	184000	2000	160	228080
1	35	8664	176400	1920	160	228720
1	35	8665	234000	2560	240	313480
1	35	8666	330000	2240	240	251880
1	35	8751	378000	2400	320	295840
1	35	8762	329600	0	240	15360
1	35	8763	306400	0	160	9560
1	35	8764	381600	0	320	16800
1	35	91	241200	3040	320	398520
1	35	9351	1529200	16960	1680	2057280
1	35	9352	742800	5120	400	593720
1	35	9471	1474400	18240	1440	2172400
1	35	9551	156800	2000	160	243360
1	35	9751	1051200	9680	1840	1254640
1	40	11	764400	6560	3760	1114080
1	40	111	321200	3360	1440	521600
1	40	11161	496800	6080	1280	866120
1	40	11262	330400	4000	1280	609680
1	40	11263	315200	4160	720	593840
1	40	1171	306800	2560	1680	452440
1	40	121	467200	3680	2400	659560
1	40	122	486800	3840	2240	654720
1	40	1272	620400	5840	1920	916720
1	40	141	202800	1280	1440	253680
1	40	151	463200	2160	4080	579160
1	40	161	337600	2160	2480	468960
1	40	171	354400	3280	1360	538840
1	40	21	156000	1680	720	272440
1	40	22	175200	1600	480	236000
1	40	2371	1177200	12080	2480	1637080
1	40	2471	1479600	14320	1440	1714320
1	40	2571	2405600	26960	3440	3126400
1	40	2651	162800	960	160	127160
1	40	2661	388000	1440	480	187680
1	40	2662	212000	2080	160	235200
1	40	2663	142000	1760	160	198600
1	40	2664	374000	2880	400	329080
1	40	2665	296000	1120	320	146760
1	40	2666	189600	320	160	43920
1	40	2751	970000	7840	880	928560
1	40	3153	114400	1360	160	196640
1	40	3171	224800	2240	960	367000
1	40	3351	300800	3760	800	556160
1	40	3451	13600	80	80	16680
1	40	3551	111600	800	400	134200
1	40	41	225200	1360	1680	293800
1	40	4151	444800	4240	2320	714600
1	40	4251	841600	8560	2400	1180200
1	40	4351	918000	8320	1440	1112080
1	40	4352	592000	5200	2240	832480
1	40	51	724400	4720	4720	965000
1	40	5151	36800	240	320	55600
1	40	6151	54800	240	640	77840
1	40	6271	430400	4080	2160	705640
1	40	6452	130000	560	1680	194600
1	40	6471	956400	5600	6000	1167000
1	40	71	511600	3360	4080	735000
1	40	7151	232400	1040	2400	311360
1	40	7152	474400	2320	2960	524680
1	40	7251	116400	480	1440	166640
1	40	7351	360400	1840	3680	510720
1	40	7352	318800	2240	1360	397320
1	40	7451	751200	6480	3280	1081400
1	40	81	106000	0	480	32960
1	40	8151	301600	2000	3040	488480
1	40	8152	562400	4800	2640	845880
1	40	82	459200	2560	640	358120
1	40	8251	460000	3200	960	476920
1	40	8351	877200	8960	2320	1289960
1	40	8451	615200	4800	960	645440
1	40	8462	210800	1440	240	171560
1	40	8551	634000	0	400	21520
1	40	8562	40400	0	0	NA
1	40	8651	333200	3600	480	457800
1	40	8652	269200	400	240	53760
1	40	8663	184000	2080	160	230360
1	40	8664	176400	1840	160	203680
1	40	8665	234000	2560	400	288040
1	40	8666	330000	1920	400	228920
1	40	8751	378000	3520	400	458240
1	40	8762	329600	0	240	11040
1	40	8763	306400	0	240	13160
1	40	8764	381600	400	320	62760
1	40	91	241200	2640	400	356800
1	40	9351	1529200	16560	1920	2042760
1	40	9352	742800	5040	560	587680
1	40	9471	1474400	18320	1360	2182320
1	40	9551	156800	1840	160	231920
1	40	9751	1051200	5760	1680	789720
1	45	11	764400	6320	4160	799880
1	45	111	321200	3200	1600	360480
1	45	11161	496800	5360	1680	451760
1	45	11262	330400	4000	1280	330160
1	45	11263	315200	4160	880	243960
1	45	1171	306800	2240	1600	322600
1	45	121	467200	3680	2560	523080
1	45	122	486800	3840	2560	499840
1	45	1272	620400	5040	1920	423680
1	45	141	202800	1200	1600	243760
1	45	151	463200	2240	4560	NA
1	45	161	337600	2080	2400	432400
1	45	171	354400	3200	1280	401640
1	45	21	156000	1600	720	132240
1	45	22	175200	1280	560	155160
1	45	2371	1177200	12000	2400	689680
1	45	2471	1479600	14400	1360	984120
1	45	2571	2405600	25280	3760	2138960
1	45	2651	162800	800	80	75000
1	45	2661	388000	1680	400	210840
1	45	2662	212000	2240	160	219680
1	45	2663	142000	1680	0	192960
1	45	2664	374000	3360	480	336280
1	45	2665	296000	0	240	13200
1	45	2666	189600	1040	160	99000
1	45	2751	970000	8240	960	558840
1	45	3153	114400	1360	160	57640
1	45	3171	224800	2240	960	222080
1	45	3351	300800	3760	880	343600
1	45	3451	13600	80	80	16360
1	45	3551	111600	640	480	88400
1	45	41	225200	1360	1840	256200
1	45	4151	444800	4000	2640	563960
1	45	4251	841600	6800	2560	702040
1	45	4351	918000	8080	1440	895120
1	45	4352	592000	4320	2160	615600
1	45	51	724400	4720	5040	754040
1	45	5151	36800	160	320	44160
1	45	6151	54800	240	640	66720
1	45	6271	430400	4000	2320	599480
1	45	6452	130000	560	1520	172360
1	45	6471	956400	5760	5760	1012240
1	45	71	511600	3280	4400	677760
1	45	7151	232400	1040	2240	288240
1	45	7152	474400	2320	3120	489160
