run	time	UA	tot.inc	even.age	sup.mat	s.inc.burnt	s.inc.mat.burnt	s.inc.kill	s.inc.mat.kill	cc.area.unaff	cc.area.salvaged	harv.cc.EPN	harv.cc.BOJ	harv.cc.PET	harv.cc.SAB	harv.cc.ERS	harv.cc.other	reg.fail.ex	reg.fail.inc
1	20	8665	2340	2212	1040	8	0	0	0	124	0	112	0	4	8	0	0	0	8
1	20	8666	3300	3160	1028	20	12	0	0	100	12	96	0	0	4	0	12	0	4
1	20	8751	3780	3556	748	580	140	0	0	80	20	68	0	8	12	0	12	0	208
1	20	8762	3296	3148	1100	468	168	0	0	88	24	80	0	4	4	0	24	0	192
1	20	8763	3064	2908	760	708	328	0	0	52	12	36	0	8	8	0	12	4	196
1	20	8764	3816	3628	1216	1056	476	0	0	92	24	100	0	4	4	0	8	0	328
1	20	91	2412	2272	1144	0	0	0	0	152	0	68	0	8	64	0	12	0	0
1	20	9351	15292	14476	5024	4	4	0	0	824	4	568	0	20	176	0	60	0	0
1	20	9352	7428	7060	3084	72	20	0	0	256	16	248	0	0	12	0	12	0	52
1	20	9471	14744	13968	8644	320	228	0	0	728	180	724	0	8	156	0	20	0	76
1	20	9551	1568	1492	908	0	0	0	0	96	0	56	0	0	40	0	0	0	0
1	20	9751	10512	9820	2328	0	0	0	0	500	0	276	0	48	112	0	64	0	0
1	25	11	7644	5752	1756	192	52	0	0	264	64	12	0	100	124	0	92	0	28
1	25	111	3212	2500	672	236	88	0	0	136	36	4	0	40	72	4	52	0	36
1	25	11161	4968	4316	656	128	32	0	0	280	36	52	4	16	176	4	64	4	40
1	25	11262	3304	2904	644	4	0	0	0	208	0	52	0	20	88	0	48	0	4
1	25	11263	3152	2792	704	4	0	0	0	212	0	36	0	12	136	0	28	0	4
1	25	1171	3068	2172	572	156	40	0	0	68	20	0	0	16	36	0	36	0	28
1	25	121	4672	3448	1196	4	0	0	0	196	0	16	0	12	84	0	84	0	0
